Date Played,Session Start Time,Session End Time,Session Duration,Daily Session Count,Total Daily Gaming Duration,Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
12/6/2025,12:47:00 PM,1:20:00 PM,33,2,275,1,10,2
12/6/2025,4:12:00 PM,8:14:00 PM,242,2,275,4,5,6
12/7/2025,8:11:00 PM,8:33:00 PM,22,1,22,1,10,12
12/8/2025,12:21:00 AM,12:55:00 AM,34,2,466,9,1,14
12/8/2025,1:48:00 PM,9:00:00 PM,432,2,466,8,2,2
12/9/2025,12:25:00 AM,2:15:00 AM,110,1,110,3,7,6
12/10/2025,2:47:00 PM,10:49:00 PM,482,1,482,10,2,6
12/11/2025,1:18:00 AM,3:34:00 AM,136,3,462,3,7,4
12/11/2025,6:16:00 PM,11:42:00 PM,326,3,462,8,4,10
12/12/2025,12:34:00 AM,5:15:00 AM,281,3,654,2,8,1
12/12/2025,1:34:00 PM,4:53:00 PM,199,3,654,2,9,1
12/12/2025,4:11:00 PM,7:05:00 PM,174,3,654,6,5,5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
